Prior,Beta_Spill_Downstream,Spill_Down_HDI_Lower,Spill_Down_HDI_Upper,Beta_Harvest_Downstream,Harvest_Down_HDI_Lower,Harvest_Down_HDI_Upper,Beta_Spill_Tributary,Spill_Trib_HDI_Lower,Spill_Trib_HDI_Upper,Beta_Harvest_Tributary,Harvest_Trib_HDI_Lower,Harvest_Trib_HDI_Upper
Default (weakly informative),-0.16842307530082937,-0.5251453848158361,0.1880305651372524,-0.03786447545167772,-0.8179834199517539,0.7889116888101373,-0.3759510196015575,-0.9955307278148624,0.25520812699831313,-0.24826023249162024,-1.3990388550485535,0.9121851375523925
Wider priors (sigma=2),-0.17842691572306182,-0.5411837860009614,0.21832001819414185,-0.07585987801011242,-0.9912831461716407,0.8555934239129709,-0.4261612761362458,-1.1473246626336915,0.3023227174855319,-0.33921187280955906,-1.712763831781778,1.1719749608122263
Narrower priors (sigma=0.5),-0.13560696230606845,-0.46610200691475123,0.19147283955628672,-0.006548716286581779,-0.6256768474221459,0.6238685879079907,-0.28163628310536104,-0.7892579354689806,0.22662074940866575,-0.1210147564624356,-0.9233954459794171,0.6573442149308999
Skeptical (tight priors),-0.09084618576720847,-0.3696805623343894,0.19132076849010088,0.005765814537328864,-0.41183231528630393,0.42290728824757323,-0.14643407685654256,-0.5250177490710168,0.22466164035752714,-0.04040553108844511,-0.4950157209400669,0.4015360570331977
