TagCode,Subbasin,ReleaseSite,FirstWellsDate,LastDetectionDate,LastDetectionSite,Fate,Basin,SpillYear,WellsYear,ClassifiedZone,CorrectedFate,Rear Type Code,Harvest_Status,HarvestExposure,FallSpillHours,FallSpillDays,FallTotalSpill,SpringSpillHours,SpringSpillDays,SpringTotalSpill,ReturnedDownstream
384.3B239875C6,Upper Columbia-Entiat,ENTIAR - Entiat River,2017-10-05T05:14:00Z,2018-05-30T12:34:00Z,ENF - Upper Entiat River at rkm 40.6,Downstream,Entiat,2018,2017,Below,Downstream,W,Closed,0,523,34,4903.6,671,66,14036.5,1
384.3B239947BA,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2019-08-18T12:02:00Z,2019-10-04T08:16:00Z,"TUM - Tumwater Dam, Wenatchee River",Downstream,Wenatchee,2020,2019,Below,Downstream,W,Closed,0,527,45,5134,86,13,3546.5,1
384.3B23995DC4,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-06T15:06:00Z,2017-06-07T18:34:00Z,ENS - Upper Entiat River at rkm 35.7,Downstream,Entiat,2017,2016,Below,Downstream,W,Closed,0,460,22,3623,330,20,17709.1,1
384.3B239B285B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2020-07-11T15:09:00Z,2021-05-05T13:14:00Z,JDJ - John Day Dam Juvenile,Downstream,Wenatchee,2021,2020,Below,Downstream,W,Closed,0,725,55,8756.2,161,24,2214.9,1
384.3B23AC6042,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-28T15:02:00Z,2016-04-08T13:11:00Z,HS2 - Bottom side channel near ENFH,Downstream,Entiat,2016,2015,Below,Downstream,W,Open,0,460,24,4097.5,15,4,165.1,1
384.3B23AC6E25,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-07T15:34:00Z,2016-05-02T11:56:00Z,BCC - BON PH2 Corner Collector,Downstream,Entiat,2016,2015,Below,Downstream,W,Open,0,460,24,4097.5,15,4,165.1,1
384.3B23AC8F6F,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-21T10:21:00Z,2016-08-21T12:31:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Entiat,2017,2016,Wells Dam,At Wells,W,Closed,0,460,22,3623,330,20,17709.1,0
3D9.1BF14EC6AF,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-08-19T07:45:00Z,2005-08-19T07:46:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF15ADCFA,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-10-16T17:00:00Z,2005-10-16T17:00:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF15AE2C0,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-16T11:43:00Z,2004-09-16T11:43:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF15AE4BD,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-10-19T15:14:00Z,2006-04-23T15:51:00Z,RRF - Rocky Reach Fishway,Downstream,Wenatchee,2006,2005,Below,Downstream,H,Open,1,693,45,6330.4,61,9,1610.6,1
3D9.1BF15AE911,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-01T14:50:00Z,2004-09-01T14:50:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF15AEC18,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-18T18:14:00Z,2004-09-18T18:15:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF16E1EBF,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-05-04T14:09:00Z,2005-05-04T14:11:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2005,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF16EDA3F,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-08-18T11:22:00Z,2006-04-17T14:37:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF170129C,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-10-05T13:07:00Z,2005-10-05T13:10:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF1704062,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-04-28T11:13:00Z,2005-04-28T11:15:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2005,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF1744B5C,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-10-06T17:35:00Z,2004-10-06T17:36:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF1752357,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-10-14T16:05:00Z,2005-10-14T16:06:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17D7E52,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-07-23T17:05:00Z,2005-07-23T17:05:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17D89A1,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-12T18:02:00Z,2004-09-12T18:02:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17D8D01,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-09-15T19:12:00Z,2005-09-15T19:12:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17D8E39,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-04-17T21:36:00Z,2006-04-17T21:38:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2006,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17D915F,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-17T12:13:00Z,2004-09-17T12:14:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17D95AA,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-10-17T14:10:00Z,2004-10-17T14:11:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17D95AC,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-11-26T11:25:00Z,2005-11-26T11:25:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17D98A1,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-07-01T09:45:00Z,2005-07-01T09:53:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17D9E9B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-24T14:20:00Z,2004-09-24T14:21:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17DA6A0,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-19T12:55:00Z,2004-09-19T12:56:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17DB3CC,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-10-18T18:41:00Z,2004-10-18T18:41:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17DBD8A,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-08-20T15:23:00Z,2004-08-20T15:29:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17DD4E4,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-05-12T13:40:00Z,2005-05-12T13:43:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2005,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17DF3D1,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-08-20T14:48:00Z,2004-08-20T14:48:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17E0BF0,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-08-24T14:03:00Z,2004-08-25T02:30:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17E2354,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-04-13T19:29:00Z,2006-04-13T19:29:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2006,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17E28C9,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-11-24T22:50:00Z,2004-11-24T22:50:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17E2A2D,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-07-12T15:52:00Z,2006-04-23T16:41:00Z,RRF - Rocky Reach Fishway,Downstream,Wenatchee,2006,2005,Below,Downstream,H,Open,1,693,45,6330.4,61,9,1610.6,1
3D9.1BF17E5148,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-07-07T15:08:00Z,2005-07-07T15:10:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17E5711,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-04-10T16:56:00Z,2006-04-10T16:59:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2006,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17E57C9,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-09-28T19:51:00Z,2005-09-28T19:52:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17E5BB1,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-08-21T13:31:00Z,2005-11-27T14:41:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17E5D1D,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-07-31T17:06:00Z,2006-06-07T21:28:00Z,MCJ - McNary Dam Juvenile,Downstream,Wenatchee,2006,2005,Below,Downstream,H,Open,1,693,45,6330.4,61,9,1610.6,1
3D9.1BF17E6624,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-04-13T16:28:00Z,2005-04-13T16:31:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2005,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17E68F0,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-06T20:50:00Z,2004-10-26T12:00:00Z,PRD - Priest Rapids Dam,Downstream,Wenatchee,2005,2004,Below,Downstream,H,Open,1,653,32,5545.5,24,4,564,1
3D9.1BF17E6A7B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-08-26T10:59:00Z,2005-08-26T10:59:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF17E78A4,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-10-12T13:58:00Z,2004-10-12T13:59:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF17FB45D,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-09-30T12:41:00Z,2005-09-30T12:47:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF184A4AD,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-22T12:57:00Z,2004-09-22T12:57:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF1850909,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-13T10:07:00Z,2004-09-13T10:08:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF1853D52,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-07-26T18:02:00Z,2005-07-26T18:02:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF1856EAD,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-26T14:03:00Z,2005-05-15T08:10:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF1858026,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-09-29T12:57:00Z,2005-09-29T13:02:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF1858412,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-10-07T18:46:00Z,2004-10-07T18:52:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF1859478,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-07-18T14:14:00Z,2005-07-18T14:14:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF1859520,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-06-30T13:52:00Z,2005-06-30T13:54:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF185978D,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-30T11:29:00Z,2004-09-30T11:30:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
3D9.1BF1859889,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-09-10T16:17:00Z,2006-04-25T13:23:00Z,RRF - Rocky Reach Fishway,Downstream,Wenatchee,2006,2005,Below,Downstream,H,Open,1,693,45,6330.4,61,9,1610.6,1
3D9.1BF1859917,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-10-17T08:22:00Z,2005-10-17T08:22:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF18BE1B7,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-09-02T12:44:00Z,2006-09-02T12:45:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18BE36B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-08-21T13:14:00Z,2006-08-21T13:15:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18BEFB3,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-10-11T02:42:00Z,2006-11-02T09:32:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18BF7B3,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-09-18T22:18:00Z,2007-04-22T10:11:00Z,RRF - Rocky Reach Fishway,Downstream,Wenatchee,2007,2006,Below,Downstream,H,Open,1,632,33,4682.1,193,26,6309.6,1
3D9.1BF18C177C,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-10-05T07:56:00Z,2006-10-05T08:00:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18C6382,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-09-24T08:43:00Z,2006-09-24T08:43:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18C64BA,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-10-15T14:30:00Z,2006-10-15T14:30:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18C83F2,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2007-07-13T18:03:00Z,2007-07-13T18:08:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2008,2007,Wells Dam,At Wells,H,Open,1,655,41,4960.4,19,10,153.3,0
3D9.1BF18CA282,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-09-17T15:10:00Z,2006-09-17T15:11:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18CB5C5,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-10-07T15:20:00Z,2006-10-07T15:22:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18CD319,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-10-04T01:50:00Z,2006-10-04T01:53:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18CDD30,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-10-01T13:51:00Z,2006-10-01T13:52:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18CFE66,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-09-06T14:51:00Z,2006-10-08T08:42:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18D3ADE,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-08-31T20:11:00Z,2006-08-31T20:12:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18D47AA,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-09-21T05:55:00Z,2006-09-21T05:56:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18D4EFE,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-08-10T13:37:00Z,2006-08-10T13:38:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18D6CB9,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-08-14T11:14:00Z,2006-08-14T11:21:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18D7C47,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-09-29T11:48:00Z,2006-09-29T11:56:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18DB80B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-09-25T11:53:00Z,2006-11-19T02:57:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF18DBBA9,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2007-08-30T15:54:00Z,2007-08-30T15:55:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2008,2007,Wells Dam,At Wells,H,Open,1,655,41,4960.4,19,10,153.3,0
3D9.1BF18DC11D,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2007-09-07T17:30:00Z,2007-09-07T17:33:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2008,2007,Wells Dam,At Wells,H,Open,1,655,41,4960.4,19,10,153.3,0
3D9.1BF1926CBA,Wenatchee,WENATR - Wenatchee River,2006-10-03T23:30:00Z,2006-10-03T23:31:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF1927520,Wenatchee,WENATR - Wenatchee River,2006-09-07T10:43:00Z,2006-09-07T10:43:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF1929A5E,Wenatchee,WENATR - Wenatchee River,2006-08-02T14:54:00Z,2006-08-02T14:54:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF192CD80,Wenatchee,WENATR - Wenatchee River,2005-10-14T16:39:00Z,2005-10-14T16:39:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF193D848,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-09-29T14:36:00Z,2006-09-29T14:36:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF199C16C,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-08-29T17:47:00Z,2006-08-29T17:47:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF199C2CC,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2006-10-30T12:02:00Z,2006-10-30T12:02:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF19A14A2,Wenatchee,WENATR - Wenatchee River,2006-09-12T12:19:00Z,2006-09-12T12:21:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF19A3FB4,Wenatchee,WENATR - Wenatchee River,2005-10-07T18:40:00Z,2005-10-07T18:41:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF19A48E9,Wenatchee,WENATR - Wenatchee River,2006-07-23T18:37:00Z,2006-07-23T18:38:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF19B6435,Wenatchee,WENATR - Wenatchee River,2006-11-12T06:42:00Z,2006-11-12T06:45:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
3D9.1BF19C8383,Wenatchee,WENATR - Wenatchee River,2006-11-08T11:14:00Z,2006-11-08T11:15:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2007,2006,Wells Dam,At Wells,H,Open,1,632,33,4682.1,193,26,6309.6,0
