TagCode,Subbasin,ReleaseSite,FirstWellsDate,LastDetectionDate,LastDetectionSite,Fate,Basin,SpillYear,WellsYear,ClassifiedZone,CorrectedFate,Rear Type Code,Harvest_Status,HarvestExposure,FallSpillHours,FallSpillDays,FallTotalSpill,SpringSpillHours,SpringSpillDays,SpringTotalSpill,ReturnedDownstream
3D9.1C2D9EDD36,Upper Columbia-Entiat,ENTIAR - Entiat River,2013-10-11T09:52:00Z,2014-06-08T16:58:00Z,"MAD - Mad River, Entiat River Basin",Downstream,Entiat,2014,2013,Below,Downstream,W,Open,0,465,24,4206.5,189,24,2903,1
3D9.1C2D9EF5D0,Upper Columbia-Entiat,ENTIAR - Entiat River,2013-09-28T00:58:00Z,2014-05-08T10:25:00Z,RRJ - Rocky Reach Dam Juvenile,Downstream,Entiat,2014,2013,Below,Downstream,W,Open,0,465,24,4206.5,189,24,2903,1
3D9.1C2D9F0CEC,Upper Columbia-Entiat,ENTIAR - Entiat River,2013-07-25T12:01:00Z,2013-07-25T12:01:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Entiat,2014,2013,Wells Dam,At Wells,W,Open,0,465,24,4206.5,189,24,2903,0
3D9.1C2D9F0CFB,Upper Columbia-Entiat,ENTIAR - Entiat River,2013-08-30T08:14:00Z,2014-04-25T21:13:00Z,ENS - Upper Entiat River at rkm 35.7,Downstream,Entiat,2014,2013,Below,Downstream,W,Open,0,465,24,4206.5,189,24,2903,1
3D9.1C2D9FD13B,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-20T13:52:00Z,2017-04-10T20:01:00Z,ENS - Upper Entiat River at rkm 35.7,Downstream,Entiat,2017,2016,Below,Downstream,W,Closed,0,460,22,3623,330,20,17709.1,1
3D9.1C2D9FDE14,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-07-26T07:37:00Z,2017-05-14T16:32:00Z,ENF - Upper Entiat River at rkm 40.6,Downstream,Entiat,2017,2016,Below,Downstream,W,Closed,0,460,22,3623,330,20,17709.1,1
3D9.1C2DCAE414,Wenatchee,WENATR - Wenatchee River,2014-09-19T13:15:00Z,2014-09-19T13:17:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2015,2014,Wells Dam,At Wells,H,Open,1,460,22,4187,285,37,4605.9,0
3D9.1C2DCAF7BC,Wenatchee,WENATR - Wenatchee River,2014-08-09T15:00:00Z,2014-11-23T18:52:00Z,LWE - Lower Wenatchee River,Downstream,Wenatchee,2015,2014,Below,Downstream,H,Open,1,460,22,4187,285,37,4605.9,1
3D9.1C2DCB2709,Wenatchee,WENATR - Wenatchee River,2014-09-26T13:45:00Z,2016-04-23T09:20:00Z,"MAD - Mad River, Entiat River Basin",Downstream,Wenatchee,2015,2014,Below,Downstream,H,Open,1,460,22,4187,285,37,4605.9,1
3D9.1C2DCB9F6D,Wenatchee,WENATR - Wenatchee River,2013-09-27T00:39:00Z,2014-03-24T02:09:00Z,ICL - Lower Icicle Instream Array,Downstream,Wenatchee,2014,2013,Below,Downstream,H,Open,1,465,24,4206.5,189,24,2903,1
3D9.1C2DCBADB8,Wenatchee,WENATR - Wenatchee River,2015-09-01T16:31:00Z,2015-11-09T15:32:00Z,TUF - Tumwater Dam Adult Fishway,Downstream,Wenatchee,2016,2015,Below,Downstream,W,Open,0,460,24,4097.5,15,4,165.1,1
3D9.1C2DCBD558,Wenatchee,WENATR - Wenatchee River,2015-08-30T05:06:00Z,2016-04-28T12:38:00Z,RRJ - Rocky Reach Dam Juvenile,Downstream,Wenatchee,2016,2015,Below,Downstream,H,Open,1,460,24,4097.5,15,4,165.1,1
3D9.1C2DCBE3B7,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2015-09-13T09:07:00Z,2015-09-13T10:10:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2016,2015,Wells Dam,At Wells,H,Open,1,460,24,4097.5,15,4,165.1,0
3D9.1C2DCC1BAA,Wenatchee,WENATR - Wenatchee River,2014-09-25T19:51:00Z,2014-09-25T22:25:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2015,2014,Wells Dam,At Wells,H,Open,1,460,22,4187,285,37,4605.9,0
3D9.1C2DCC4CAF,Wenatchee,WENATR - Wenatchee River,2014-09-16T07:53:00Z,2015-04-27T21:03:00Z,UWE - Upper Wenatchee River,Downstream,Wenatchee,2015,2014,Below,Downstream,H,Open,1,460,22,4187,285,37,4605.9,1
3D9.1C2DCC4DA8,Wenatchee,WENATR - Wenatchee River,2015-09-21T16:03:00Z,2015-09-21T18:39:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2016,2015,Wells Dam,At Wells,H,Open,1,460,24,4097.5,15,4,165.1,0
3D9.1C2DCC6C4F,Wenatchee,WENATR - Wenatchee River,2014-10-01T16:11:00Z,2015-04-09T12:00:00Z,WEL - Wells Dam,At Wells,Wenatchee,2015,2014,Wells Dam,At Wells,H,Open,1,460,22,4187,285,37,4605.9,0
3D9.1C2DCC9666,Wenatchee,WENATR - Wenatchee River,2015-08-20T23:39:00Z,2015-08-21T03:27:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2016,2015,Wells Dam,At Wells,H,Open,1,460,24,4097.5,15,4,165.1,0
3D9.1C2DCD6129,Wenatchee,WENATR - Wenatchee River,2014-09-22T11:41:00Z,2014-10-23T16:13:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2015,2014,Wells Dam,At Wells,H,Open,1,460,22,4187,285,37,4605.9,0
