Window,Variable,Beta_Spill_Mean,Beta_Spill_SD,Spill_HDI_Lower,Spill_HDI_Upper,P_Spill_Positive,Beta_Harvest_Mean,Beta_Harvest_SD,Harvest_HDI_Lower,Harvest_HDI_Upper,P_Harvest_Positive,Sigma_Alpha
Fall (Aug-Nov),SpillHours,-0.30485901864115544,0.11845645806328993,-0.538190132880715,-0.06669748821989478,0.005083333333333333,-2.1810487625752937,0.2054761043540326,-2.5798574524767903,-1.7747062520962327,0,0.494749630464012
Fall (Aug-Nov),SpillDays,-0.16418543553716608,0.12422705944199545,-0.4069066282251782,0.0866966966941218,0.09325,-2.3255387669682768,0.2106235965460953,-2.736982112235998,-1.9140205975377278,0,0.5461295039353109
Fall (Aug-Nov),TotalSpill,-0.025538366542464136,0.18361620211761853,-0.3886905987503689,0.33406872804434173,0.44608333333333333,-2.2899362175206335,0.2115303077922126,-2.7143980653687403,-1.8824846799380062,0,0.6557987961191302
Spring (Jan-Mar),SpillHours,0.08872210484721038,0.1316406421678624,-0.16316729389032306,0.3519676507665578,0.7524166666666666,-2.2606302899820325,0.2120160258022061,-2.676290140946256,-1.8571386175072693,0,0.6332828946395836
Spring (Jan-Mar),SpillDays,0.09344867562329111,0.14750635510089435,-0.19882566199596802,0.3833218118323468,0.7421666666666666,-2.2657096129594287,0.21155652053765045,-2.683100608501094,-1.8513316321079405,0,0.6509317348243876
Spring (Jan-Mar),TotalSpill,0.030583709508129806,0.12671642826637614,-0.2220837662824904,0.2764773747426278,0.589,-2.2773602085781857,0.21654175455336583,-2.716012980491438,-1.8654168804030067,0,0.6498757647847012
