Tag Code,Mark Site Name,Mark Date MMDDYYYY,Release Site Name,Release Date MMDDYYYY,Species Code,Species Name,Rear Type Code,Rear Type Name,Mark Count
3D9.1C2C506296,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506305,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506411,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5064ED,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50653F,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506543,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5065C8,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506611,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50679C,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5068A3,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506B02,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506B55,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506D83,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506D8E,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506DE9,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C506EF4,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C507098,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50711C,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5076BF,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C507847,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C507891,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C507AFC,EBNK - East Bank Hatchery,5/6/2010,WENATR - Wenatchee River,5/6/2010,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C507D0A,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C507D50,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50817D,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50826E,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50832E,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5084E4,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5085F0,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50876B,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50886F,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5088C6,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C508A4C,EBNK - East Bank Hatchery,9/4/2007,WENATR - Wenatchee River,5/5/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C508B25,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C508C41,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509284,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509329,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509341,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50943C,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509518,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5096B3,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5096E6,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5096FF,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50980A,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50985B,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509992,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509A05,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509A5B,EBNK - East Bank Hatchery,9/4/2007,WENATR - Wenatchee River,5/5/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509A85,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509A8E,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509B89,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509C40,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509CEF,TURO - Turtle Rock Pond,5/5/2008,NASONC - Nason Creek (tributary to Wenatchee River),5/5/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C509FB8,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A073,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A274,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A27C,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A283,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A288,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A2B7,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A3AA,EBNK - East Bank Hatchery,5/17/2010,WENATR - Wenatchee River,5/17/2010,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A3E0,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A452,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A481,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
