Model,Parameter,Beta_Mean,Beta_SD,HDI_Lower,HDI_Upper,OR,P_positive,P_negative
Model1_AllFish,wells_interaction,-1.3483524411640668,0.26681905150601154,-1.8813044562240593,-0.8341840818983159,0.25966772626863566,0,1
Model1_AllFish,harvest_open,-0.31179564610023464,0.46426498564942464,-1.2223876385163412,0.5922789555046662,0.7321311267931667,0.24991666666666668,0.7500833333333333
Model1b_AllFish_Season,wells_interaction,-1.3542814551161682,0.2693807935019986,-1.8954736415670836,-0.8413995606955457,0.25813270776646907,0,1
Model1b_AllFish_Season,spring_return,-0.014730766697791392,0.7610013313903384,-1.5593658340453962,1.4375486887172635,0.9853772002505048,0.48033333333333333,0.5196666666666667
Model2_GroupB_Spill,SpringSpillHours_z,0.21868449398327144,0.2204585651320672,-0.19947470826935174,0.666192077906913,1.2444385868811803,0.8429166666666666,0.15708333333333332
Model2_GroupB_Spill,FallSpillHours_z,0.2852207141484472,0.190055950646416,-0.08636747381607557,0.6654253166105243,1.3300555578070337,0.9384166666666667,0.06158333333333333
Model2_GroupB_Spill,harvest_open,0.1719093297557905,0.47881879748184086,-0.7685240209861406,1.093217650392497,1.1875701510565837,0.6448333333333334,0.3551666666666667
