Outcome,Model,Beta,OR,CI_low,CI_high,P_neg
Original (ENL),Standard (Model 1),-0.642,0.526,-1.09,-0.21,0.997
Original (ENL),Det-corrected (Model 1c),-1.8357001006993212,0.15950179535134196,-2.7367964098830875,-1.066595858511365,1
Strict (spawned),Standard (S1),-0.5627455750859068,0.5696429174443666,-0.9749281306415541,-0.15279670801786274,0.9965833333333334
Strict (spawned),Det-corrected (S2),-0.6830089448684336,0.5050949008592497,-1.1992728401605057,-0.18091737055382415,0.9948333333333333
