TagCode,ReturnYear,ReturnSeason,p_enl_safe,p_lmr_safe,p_okl_safe,prob_ent,prob_met,prob_oka,prob_other
384.3B23AC8F6F,2016,Fall,0.9725607942873692,1,1,0.18973355023033023,0,0,0.8102664497696697
3D9.1BF1A7ADA9,2007,Fall,1,1,1,0,0,0,1
3D9.1BF25FEF5C,2009,Fall,0.945395143284734,0.9959463517110452,1,0.31750740034304564,0.0011307088326560444,0,0.6813618908242983
3D9.1BF2604717,2010,Fall,0.9610634290781224,1,1,0.2494062730499044,0,0,0.7505937269500956
3D9.1C2C454CF4,2009,Fall,0.9769063544945846,0.9755255320336436,1,0.16326574825331885,0.008300380232326996,0,0.8284338715143541
3D9.1C2C50C954,2010,Fall,0.9872574863670058,0.9644483054226988,1,0.09680668038395884,0.012956648198837068,0,0.8902366714172041
3D9.1C2C50CC1F,2010,Fall,0.9679949016009064,0.97836813571347,1,0.2130501833066216,0.006907785360404676,0,0.7800420313329737
3D9.1C2C50DE70,2009,Fall,0.9449282528580516,0.9964121142547404,1,0.3193965965864221,9.9821059176382e-4,0,0.679605192821814
3D9.1C2CBC39D4,2012,Fall,0.9802843950213668,1,1,0.1440187680026335,0,0,0.8559812319973664
3D9.1C2CBC4476,2012,Fall,0.9518303732077544,0.9456675112476772,1,0.28679821699564123,0.01551832717427963,0,0.6976834558300792
3D9.1C2CBC473F,2011,Fall,0.9403404955154936,0.9853584578367446,1,0.3360296997647959,0.00395609747838857,0,0.6600142027568154
3D9.1C2CDD6C78,2011,Fall,0.9809073896858124,0.9575403160550688,1,0.13804221786928764,0.014726702598606313,0,0.8472310795321061
3D9.1C2CDD6F5C,2010,Fall,0.8693704719387673,0.7097049553642886,1,0.4990891582829672,0.0532057463897902,0,0.44770509532724256
3D9.1C2D0A1AD5,2011,Fall,0.9606865276958704,0.7052683011136819,1,0.2303983223972219,0.08286037523292084,0,0.6867413023698573
3D9.1C2D1004F7,2012,Fall,0.9802843950213668,1,1,0.1440187680026335,0,0,0.8559812319973664
3D9.1C2D112AF0,2011,Fall,0.9843962618367664,1,1,0.11751199658316082,0,0,0.8824880034168392
3D9.1C2D11440A,2012,Fall,0.8827339547254835,0.9955137002940896,1,0.4997237618731559,9.171241810974358e-4,0,0.49935911394574667
3D9.1C2D127644,2014,Fall,0.855559013475918,0.9933077756015632,0.9978606596673616,0.5513925372992446,0.0012255275326609066,5.433282755856244e-5,0.4473276023405359
3D9.1C2D6FF6A1,2015,Fall,0.7704831855889038,0.9915988062535904,0.996814690505788,0.6612002280760184,0.0011610251494430603,6.10495002739255e-5,0.3375776972742646
3D9.1C2D91FF33,2015,Fall,0.9789707510844392,1,1,0.15215462496424315,0,0,0.8478453750357569
3D9.1C2D9207E9,2014,Fall,0.9789707510844392,1,1,0.15215462496424315,0,0,0.8478453750357569
3D9.1C2D920C3E,2014,Fall,0.8671710408449667,0.9933089408553318,0.997897704793964,0.5305849003292485,0.0012821508520079168,5.586860235367697e-5,0.4680770802163899
3D9.1C2D928486,2014,Fall,0.95480352973732,0.8497618849276973,0.7932149031068112,0.264368995324746,0.042156861173381896,0.008047059779313602,0.68542708372255845
3D9.1C2D932CD1,2014,Fall,0.9387395065642876,0.4897533020575134,0.4043229775885816,0.2961143670892149,0.11831541494560509,0.01915586760299543,0.5664143503621845
3D9.1C2D96078C,2014,Fall,0.9505383556113524,0.9077033687331352,0.8745657800640257,0.28772792421817467,0.02575617999531207,0.0048544662403417664,0.6816614295461715
3D9.1C2D98EDFE,2015,Fall,0.9193696828435424,0.863995099672594,0.7919029006966554,0.3919428291630266,0.03171473239346375,0.00672980331403841,0.5696126351294711
3D9.1C2D9E8110,2014,Fall,1,1,1,0,0,0,1
3D9.1C2D9F0CEC,2013,Fall,0.9434161581215976,0.5516282924743691,1,0.2897673919706261,0.11014820412145546,0,0.6000844039079183
3D9.1C2DDA0B75,2015,Fall,0.911154210413379,0.909027438853859,0.8642232160969959,0.42048488955506186,0.020654091826054675,0.004275146974601811,0.5545858716442816
3D9.1C2DDA377B,2014,Fall,0.945961417462749,0.9326543460655378,0.9124988457554924,0.3087356925414627,0.018457573472053734,0.0033258959927531533,0.6694808379937303
3D9.1C2DDA86B3,2015,Fall,0.9207567195004824,0.8504331662373191,0.7715311960381706,0.38632895673348966,0.03497939186875625,0.007410264560434874,0.5712813868373191
3D9.1C2DDB28A5,2016,Fall,0.7943897129662653,0.9004735157280116,0.8285836279777308,0.6255150035180618,0.014524918172076372,0.0034694224220195562,0.3564906558878423
3D9.1C2DEAFDF7,2015,Fall,0.9714323034484804,0.9912019590242984,1,0.19544128196606247,0.0028874149348697355,0,0.8016713030990679
3D9.1C2DEBD1D8,2016,Fall,0.8745087271660772,0.8125670267295921,0.25400186513863393,0.4890040803691798,0.035037014494568676,0.019339653572951327,0.45661925156330024
3D9.1C2DECA546,2015,Fall,0.9219118812242596,0.8359710028377593,0.7504618639232298,0.38129439515500446,0.038421846303058865,0.00810633183770549,0.5721774267042312
3DD.007736FCB6,2024,Fall,0.991126652985138,0.7797654964087132,1,0.06494968964658761,0.07733162095599652,0,0.8577186893974158
