Model,Beta,OR,CI_low,CI_high,P_neg
Revised strict — standard (n=318),-0.6641659220315049,0.5147026508620792,-1.1805438655856795,-0.1498800902444797,0.99375
Revised strict — det-corrected (n=318),-0.9778563548016533,0.37611649562038263,-1.7089127113925222,-0.29576237709967584,0.9979166666666667
