TagCode,wells_detected,entiat_detected,upstream_detected,last_overall,last_upstream,last_detected_upstream,ReturnYear,rrf_anchor,group,ReturnMonth,ReturnSeason,wells_interaction,EntiatDetected,Harvest_Status,harvest_open,WellsYear,FallSpillHours,FallTotalSpill,SpringSpillHours,SpringTotalSpill
3D9.1C2D45A35A,TRUE,TRUE,FALSE,2014-05-01T18:21:00Z,NA,FALSE,2013,2013-08-14T08:40:00Z,B,8,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2D45D3BC,TRUE,TRUE,FALSE,2014-04-06T04:53:00Z,NA,FALSE,2013,2013-08-29T10:07:00Z,B,8,Fall,1,1,Open,1,NA,465,4206.5,189,2903
3D9.1C2D468254,TRUE,TRUE,FALSE,2014-11-03T17:33:00Z,NA,FALSE,2014,2014-07-25T18:59:00Z,B,7,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2D6FDC92,TRUE,TRUE,FALSE,2016-04-21T14:11:00Z,NA,FALSE,2015,2015-09-24T07:58:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2D6FF6A1,TRUE,FALSE,FALSE,2015-10-03T11:03:00Z,NA,FALSE,2015,2015-09-19T08:59:00Z,B,9,Fall,1,0,Open,1,2015,460,4097.5,15,165.1
3D9.1C2D6FF6D8,TRUE,TRUE,FALSE,2017-04-29T18:46:00Z,NA,FALSE,2016,2016-08-16T16:07:00Z,B,8,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
3D9.1C2D6FFE83,TRUE,TRUE,FALSE,2016-04-07T17:16:00Z,NA,FALSE,2015,2015-09-03T13:09:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2D76E336,TRUE,TRUE,FALSE,2016-04-03T21:46:00Z,NA,FALSE,2015,2015-08-19T09:36:00Z,B,8,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2D778E8A,TRUE,TRUE,FALSE,2014-05-04T14:34:00Z,NA,FALSE,2013,2013-10-08T14:46:00Z,B,10,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2D9188B0,TRUE,TRUE,FALSE,2013-04-13T16:06:00Z,NA,FALSE,2012,2012-08-13T08:09:00Z,B,8,Fall,1,1,Open,1,2012,600,9666.8,72,1117.1
3D9.1C2D91FF33,TRUE,FALSE,FALSE,2015-08-18T10:06:00Z,NA,FALSE,2015,2015-08-12T06:34:00Z,B,8,Fall,1,0,Open,1,2015,460,4097.5,15,165.1
3D9.1C2D9207E9,TRUE,FALSE,FALSE,2014-08-17T12:14:00Z,NA,FALSE,2014,2014-08-12T08:24:00Z,B,8,Fall,1,0,Open,1,2014,460,4187,285,4605.9
3D9.1C2D920C3E,TRUE,FALSE,FALSE,2014-10-11T07:20:00Z,NA,FALSE,2014,2014-09-27T09:38:00Z,B,9,Fall,1,0,Open,1,2014,460,4187,285,4605.9
3D9.1C2D926486,TRUE,TRUE,FALSE,2014-06-19T17:04:00Z,NA,FALSE,2013,2013-08-23T12:54:00Z,B,8,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2D927CB3,TRUE,TRUE,TRUE,2014-04-10T01:25:00Z,2013-10-31T00:39:00Z,FALSE,2013,2013-09-21T08:28:00Z,B,9,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2D928486,TRUE,FALSE,FALSE,2014-08-20T11:49:00Z,NA,FALSE,2014,2014-08-13T16:00:00Z,B,8,Fall,1,0,Open,1,2014,460,4187,285,4605.9
3D9.1C2D928A8E,TRUE,TRUE,TRUE,2016-05-29T15:23:00Z,2016-03-02T22:38:00Z,FALSE,2015,2015-09-15T11:51:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2D92A08C,TRUE,TRUE,FALSE,2014-05-17T22:01:00Z,NA,FALSE,2013,2013-08-14T06:42:00Z,B,8,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2D92CE2F,TRUE,TRUE,FALSE,2015-05-08T18:21:00Z,NA,FALSE,2014,2014-08-09T14:18:00Z,B,8,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2D92DABB,TRUE,TRUE,TRUE,2015-03-22T13:13:00Z,2014-10-06T16:08:00Z,FALSE,2014,2014-09-17T07:37:00Z,B,9,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2D9303CC,TRUE,TRUE,TRUE,2015-03-10T20:16:00Z,2013-09-05T07:26:00Z,FALSE,2013,2013-08-25T16:48:00Z,B,8,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2D9328F3,TRUE,TRUE,FALSE,2016-03-21T02:57:00Z,NA,FALSE,2015,2015-08-31T14:06:00Z,B,8,Fall,1,1,Open,1,NA,460,4097.5,15,165.1
3D9.1C2D932CD1,TRUE,FALSE,FALSE,2014-07-23T04:43:00Z,NA,FALSE,2014,2014-07-21T06:18:00Z,B,7,Fall,1,0,Open,1,2014,460,4187,285,4605.9
3D9.1C2D9349B5,TRUE,TRUE,FALSE,2015-05-13T07:44:00Z,NA,FALSE,2014,2014-08-03T05:23:00Z,B,8,Fall,1,1,Open,1,2014,460,4187,285,4605.9
