Model,Beta,OR,CI_low,CI_high,P_neg
Revised strict v2 — standard (n=318),-0.489,0.614,-0.974,0.009,0.973
Revised strict v2 — det-corrected (n=318),-0.648,0.523,-1.313,0.018,0.971
